Textbox20
"MassDOT makes no representation as to the accuracy, adequacy, reliability, availability or completeness of the crash records or the data collected from them and is not responsible for any errors or omissions in such records or data. Under no circumstance will MassDOT have any liability for any loss or damage incurred by any party as a result of the use of the crash records or the data collected from them. Furthermore, the data contained in the web-based crash report tool are not an official record of what transpired in a particular crash or for a particular crash type. If a user is interested in an official copy of a crash report, contact the Registry (http://www.mass.gov/rmv/).

The City of Boston Police Department may be contacted directly for official copies of crash reports and for crash data pertaining to the City of Boston. In addition, any crash records or data provided for the years 2022 and later are subject to change at any time and are not to be considered up-to-date or complete. As such, open years’ of crash data are for informational purposes only and should not be used for analysis.
4702095,SOMERVILLE,23-Apr-2019,6:34 PM,Not Reported,Possible Injury (C),1,1,0,Head-on,V1: Travelling straight ahead,V1: W,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))","V1:(Light truck(van, mini-van, pickup, sport utility))",Dry,Dusk,Clear/Clear,,BROADWAY / SCHOOL ST,,,CITIZENS BANK, VU2: Bicyclist,233386.14061637,904812.9374657
4702096,SOMERVILLE,24-Apr-2019,8:49 AM,Non-fatal injury,Possible Injury (C),2,1,0,Rear-end,V1: Slowing or stopped in traffic / V2: Travelling straight ahead,V1: E  / V2: E,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Light truck(van, mini-van, pickup, sport utility))",Dry,Daylight,Cloudy,,486 SOMERVILLE AV,,,ST. ANOTHONY'S CHURCH,,232575.95787857,903658.80487931
4702328,SOMERVILLE,24-Apr-2019,9:03 AM,Property damage only (none injured),No Apparent Injury (O),1,0,0,Single vehicle crash,V1: Travelling straight ahead,V1: S,V1:(Collision with tree),"V1:(Unknown heavy truck, cannot classify)",Dry,Daylight,Clear,,214 CEDAR STREET,,,,,232113.1454676,905085.24291189
4696849,SOMERVILLE,24-Apr-2019,10:37 AM,Property damage only (none injured),No Apparent Injury (O),2,0,0,Rear-end,V1: Slowing or stopped in traffic / V2: Slowing or stopped in traffic,V1: S  / V2: S,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Passenger car) / V2:(Light truck(van, mini-van, pickup, sport utility))",Dry,Daylight,Clear/Cloudy,,Rte 93 S,,Exit 28 on Rte 93 S,,,234108.23329701,904851.77214765
4695893,SOMERVILLE,24-Apr-2019,11:15 AM,Property damage only (none injured),No Apparent Injury (O),3,0,0,Rear-end,V1: Travelling straight ahead / V2: Slowing or stopped in traffic / V3: Slowing or stopped in traffic,V1: S  / V2: S  / V3: S,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic) / V3:(Collision with motor vehicle in traffic),V1:(Passenger car) / V2:(Passenger car) / V3:(Passenger car),Dry,Daylight,Clear,,Rte 93 S,Rte 93 S Milemarker 20.8,,,,233703.60140942,905260.5140418
4702097,SOMERVILLE,25-Apr-2019,10:39 AM,Non-fatal injury,Possible Injury (C),2,1,0,"Sideswipe, opposite direction",V2: Parked / V1: Travelling straight ahead,V2: S  / V1: N,V2:(Collision with motor vehicle in traffic) / V1:(Collision with parked motor vehicle),"V2:(Light truck(van, mini-van, pickup, sport utility)) / V1:(Tractor/semi-trailer)",Dry,Daylight,Clear,,121 INNER BELT RD,,,,,234478.18003391,902871.88862956
4702098,SOMERVILLE,26-Apr-2019,1:22 PM,Property damage only (none injured),No Apparent Injury (O),2,0,0,Angle,V1: Turning right / V2: Travelling straight ahead,V1: E  / V2: S,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Passenger car) / V2:(Light truck(van, mini-van, pickup, sport utility))",Wet,Daylight,"Cloudy/Sleet, hail (freezing rain or drizzle)",CENTRAL ST / GIBBENS ST,CENTRAL ST / GIBBENS ST,,,,,232620.21063963,904223.37355506
4702099,SOMERVILLE,26-Apr-2019,8:10 PM,Non-fatal injury,Possible Injury (C),1,1,0,Angle,V1: Turning left,V1: E,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))","V1:(Light truck(van, mini-van, pickup, sport utility))",Wet,Dark - lighted roadway,Rain,,45 BEACON ST,,,, VU2: Bicyclist,232672.77133773,902880.29428457
4694223,SOMERVILLE,26-Apr-2019,11:12 PM,Non-fatal injury,Suspected Minor Injury (B),2,1,0,"Sideswipe, opposite direction",V1: Travelling straight ahead / V2: Travelling straight ahead,V1: W  / V2: E,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),V1:(Passenger car) / V2:(Passenger car),Wet,Dark - lighted roadway,Cloudy/Rain,,MYSTIC VALLEY PARKWAY Rte SR16 W / BOSTON AVENUE,,,,,230714.3099819,907569.57933045
4700062,SOMERVILLE,27-Apr-2019,12:29 PM,Non-fatal injury,Suspected Minor Injury (B),3,1,0,"Sideswipe, same direction",V1: Turning left / V2: Travelling straight ahead / V3: Slowing or stopped in traffic,V1: S  / V2: S  / V3: N,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic) / V3:(Collision with motor vehicle in traffic),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Light truck(van, mini-van, pickup, sport utility)) / V3:(Light truck(van, mini-van, pickup, sport utility))",Dry,Daylight,Clear,FELLSWAY / MIDDLESEX AVENUE /,FELLSWAY / MIDDLESEX AVENUE /,,,,,234184.43771308,905154.37489993
4702100,SOMERVILLE,27-Apr-2019,3:57 PM,Property damage only (none injured),No Apparent Injury (O),1,0,0,Single vehicle crash,V1: Travelling straight ahead,V1: S,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",V1:(Passenger car),Dry,Daylight,Clear,BELMONT ST / SOMERVILLE AV,BELMONT ST / SOMERVILLE AV,,,, VU3: Bicyclist,232034.40635108,903823.25016269
4702101,SOMERVILLE,27-Apr-2019,8:35 PM,Non-fatal injury,Possible Injury (C),2,1,0,Rear-end,V1: Travelling straight ahead / V2: Making U-turn,V1: W  / V2: W,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),V1:(Passenger car) / V2:(Passenger car),Dry,Dark - lighted roadway,Clear,,265 MEDFORD ST,,,,,233577.74279991,903835.70091204
4702327,SOMERVILLE,29-Apr-2019,6:54 AM,Not Reported,No Apparent Injury (O),2,0,0,Angle,V1: Travelling straight ahead / V2: Parked,V1: W  / V2: N,V1:(Collision with parked motor vehicle) / V2:(Collision with motor vehicle in traffic),"V1:(Unknown heavy truck, cannot classify) / V2:(Passenger car)",Dry,Daylight,Clear/Clear,,ALPINE STREET / CEDAR STREET,,,,,232008.4377382,904879.31261599
4699086,SOMERVILLE,29-Apr-2019,10:30 AM,Non-fatal injury,Suspected Minor Injury (B),2,1,0,Rear-end,V1: Travelling straight ahead / V2: Slowing or stopped in traffic,V1: S  / V2: S,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Passenger car) / V2:(Light truck(van, mini-van, pickup, sport utility))",Dry,Daylight,Clear,,MCGRATH HIGHWAY Rte SR28 S / OTIS STREET,,,,,233773.33671604,904247.6948401
4699087,SOMERVILLE,29-Apr-2019,5:00 PM,Property damage only (none injured),No Apparent Injury (O),2,0,0,"Sideswipe, same direction",V1: Overtaking/passing / V2: Entering traffic lane,V1: S  / V2: S,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Light truck(van, mini-van, pickup, sport utility))",Dry,Daylight,Not Reported,,MYSTIC AVENUE Rte SR38 N,,,RAMP-RT 28 SB TO MYSTIC AV NB,,233929.40457986,905000.84240428
4702102,SOMERVILLE,29-Apr-2019,6:57 PM,Non-fatal injury,Possible Injury (C),1,1,0,Angle,V1: Entering traffic lane,V1: N,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))","V1:(Light truck(van, mini-van, pickup, sport utility))",Dry,Daylight,Cloudy,ELM ST / PORTER ST,ELM ST / PORTER ST,,,, VU2: Bicyclist,231799.09371086,904029.62507488
4714867,SOMERVILLE,01-May-2019,5:34 PM,Property damage only (none injured),No Apparent Injury (O),2,0,0,Angle,V1: Travelling straight ahead / V2: Turning left,V1: N  / V2: W,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),V1:(Passenger car) / V2:(Passenger car),Dry,Daylight,Cloudy,,126 PACKARD AV,,,,,231092.80253009,906257.3941487
4696335,SOMERVILLE,01-May-2019,8:40 PM,Property damage only (none injured),No Apparent Injury (O),2,0,0,Rear-end,V1: Travelling straight ahead / V2: Slowing or stopped in traffic,V1: N  / V2: N,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Passenger car)",Dry,Dark - lighted roadway,Clear,,Rte 28 N,,,ASSEMBLY ROW,,,
4714868,SOMERVILLE,02-May-2019,5:56 PM,Property damage only (none injured),No Apparent Injury (O),3,0,0,Angle,V1: Travelling straight ahead / V2: Travelling straight ahead / V3: Travelling straight ahead,V1: E  / V2: E  / V3: U,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic) / V3:(Collision with motor vehicle in traffic),V1:(Passenger car) / V2:(Passenger car) / V3:(Passenger car),Dry,Daylight,Cloudy,,240 PEARL ST,,,,,233360.02562453,904230.74641107
4714869,SOMERVILLE,03-May-2019,8:37 AM,Property damage only (none injured),No Apparent Injury (O),2,0,0,Angle,V1: Turning left / V2: Travelling straight ahead,V1: N  / V2: E,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Passenger car) / V2:(Light truck(van, mini-van, pickup, sport utility))",Dry,Daylight,Cloudy,HOLLAND ST / MOORE ST,HOLLAND ST / MOORE ST,,,,,230724.74977386,905835.81259656
4714870,SOMERVILLE,03-May-2019,9:46 AM,Property damage only (none injured),No Apparent Injury (O),2,0,0,Rear-end,V1: Travelling straight ahead / V2: Slowing or stopped in traffic,V1: W  / V2: W,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),V1:(Passenger car) / V2:(Passenger car),Dry,Daylight,Cloudy,BROADWAY / LEONARD ST,BROADWAY / LEONARD ST,,,,,231223.65639832,905689.87518843
4714871,SOMERVILLE,04-May-2019,8:57 AM,Non-fatal injury,Possible Injury (C),3,1,0,Head-on,V1: Travelling straight ahead / V2: Parked / V3: Parked,V1: W  / V2: Not Reported / V3: Not Reported,V1:(Collision with parked motor vehicle) / V2:(Collision with motor vehicle in traffic) / V3:(Collision with parked motor vehicle),"V1:(Passenger car) / V2:(Passenger car) / V3:(Light truck(van, mini-van, pickup, sport utility))",Wet,Daylight,Cloudy,,420 BROADWAY,,,,,232960.6100791,905098.90907812
4702721,SOMERVILLE,05-May-2019,1:15 PM,Property damage only (none injured),No Apparent Injury (O),2,0,0,Angle,V1: Not reported / V2: Travelling straight ahead,V1: S  / V2: S,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),V1:(Passenger car) / V2:(Passenger car),Dry,Daylight,Clear,,Rte 93 S,,Exit 28 on Rte 93 S,,,234108.23329701,904851.77214765
4714973,SOMERVILLE,06-May-2019,8:17 AM,Property damage only (none injured),No Apparent Injury (O),2,0,0,Angle,V1: Turning left / V2: Travelling straight ahead,V1: E  / V2: N,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Passenger car)",Dry,Daylight,Cloudy,PEARSON RD / WARNER ST,PEARSON RD / WARNER ST,,,,,231687.37223876,905798.53797253
4700064,SOMERVILLE,06-May-2019,9:10 AM,Property damage only (none injured),No Apparent Injury (O),2,0,0,Rear-end,V1: Travelling straight ahead / V2: Slowing or stopped in traffic,V1: S  / V2: S,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),V1:(Passenger car) / V2:(Passenger car),Dry,Daylight,Not Reported,,RAMP-RT 28 TO RT 93 SB / Rte I93 S,,,RAMP TO I-93 SB FROM RT 38 SB,,234536.07648831,904320.57650003
4714872,SOMERVILLE,06-May-2019,3:56 PM,Property damage only (none injured),No Apparent Injury (O),2,0,0,Single vehicle crash,V1: Travelling straight ahead / V2: Parked,V1: S  / V2: Not Reported,V1:(Collision with tree) / V2:(Other),V1:(Single-unit truck (3-or-more axles)) / V2:(Passenger car),Dry,Daylight,Clear/Clear,,184 LOWELL STREET,,,,,232299.25117143,904519.63977549
4697798,SOMERVILLE,07-May-2019,3:10 PM,Property damage only (none injured),No Apparent Injury (O),2,0,0,Rear-end,V1: Travelling straight ahead / V2: Slowing or stopped in traffic,V1: N  / V2: N,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Passenger car) / V2:(Light truck(van, mini-van, pickup, sport utility))",Dry,Daylight,Clear,,Rte 93 N,,Exit 29 on Rte 93 N,,,234354.59732924,904549.61509137
4711916,SOMERVILLE,08-May-2019,2:44 PM,Property damage only (none injured),No Apparent Injury (O),2,0,0,Rear-end,V1: Travelling straight ahead / V2: Travelling straight ahead,V1: S  / V2: S,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),V1:(Passenger car) / V2:(Passenger car),Dry,Daylight,Clear,,MCGRATH HIGHWAY Rte UNKNOW / PEARL STREET,,,,,233709.0154934,904087.31258971
4714873,SOMERVILLE,09-May-2019,6:33 PM,Property damage only (none injured),No Apparent Injury (O),2,0,0,Angle,V1: Travelling straight ahead / V2: Travelling straight ahead,V1: N  / V2: E,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Passenger car) / V2:(Light truck(van, mini-van, pickup, sport utility))",Dry,Daylight,Clear/Clear,BEACON STREET / FOREST STREET,BEACON STREET / FOREST STREET,,,,,231686.26580675,903951.50001881
4699272,SOMERVILLE,09-May-2019,7:05 PM,Property damage only (none injured),No Apparent Injury (O),2,0,0,Rear-end,V1: Travelling straight ahead / V2: Slowing or stopped in traffic,V1: S  / V2: S,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),V1:(Passenger car) / V2:(Passenger car),Dry,Dark - lighted roadway,Clear,,Rte 28 S / Rte RAMP-R,,,,,,
4714874,SOMERVILLE,10-May-2019,9:10 AM,Property damage only (none injured),No Apparent Injury (O),2,0,0,"Sideswipe, same direction",V1: Turning left / V2: Travelling straight ahead,V1: W  / V2: W,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),V1:(Passenger car) / V2:(Passenger car),Dry,Daylight,Cloudy,HIGHLAND AV / CUTTER AVE,HIGHLAND AV / CUTTER AVE,,,,,231334.12500642,905039.25016382
4706453,SOMERVILLE,10-May-2019,9:55 PM,Property damage only (none injured),No Apparent Injury (O),2,0,0,"Sideswipe, same direction",V1: Turning left / V2: Travelling straight ahead,V1: S  / V2: N,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),V1:(Passenger car) / V2:(Passenger car),Dry,Dark - lighted roadway,Clear,MYSTIC VALLEY PARKWAY Rte SR16 W / BOSTON AVENUE,MYSTIC VALLEY PARKWAY Rte SR16 W / BOSTON AVENUE,,,,,230500.0313,907407.2502
4714875,SOMERVILLE,11-May-2019,3:50 PM,Property damage only (none injured),No Apparent Injury (O),2,0,0,Head-on,V1: Travelling straight ahead / V2: Travelling straight ahead,V1: N  / V2: E,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Passenger car) / V2:(Light truck(van, mini-van, pickup, sport utility))",Dry,Daylight,Clear,BROADWAY / HOLLAND ST,BROADWAY / HOLLAND ST,,,,,230686.14753382,905931.54072465
4714974,SOMERVILLE,11-May-2019,6:09 PM,Property damage only (none injured),No Apparent Injury (O),2,0,0,Angle,V1: Travelling straight ahead / V2: Travelling straight ahead,V1: W  / V2: N,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Passenger car)",Dry,Daylight,Clear,FREMONT ST / MEACHAM ST,FREMONT ST / MEACHAM ST,,,,,233101.84392007,905388.56267615
4714975,SOMERVILLE,11-May-2019,7:01 PM,Property damage only (none injured),No Apparent Injury (O),2,0,0,Rear-end,V1: Slowing or stopped in traffic / V2: Backing,V1: N  / V2: S,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Passenger car) / V2:(Light truck(van, mini-van, pickup, sport utility))",Dry,Daylight,Clear,,400 SOMERVILLE AV,,,,,232843.41681987,903544.50914099
4703123,SOMERVILLE,11-May-2019,7:06 PM,Non-fatal injury,Non-fatal injury - Non-incapacitating,2,3,0,Rear-end,V1: Slowing or stopped in traffic / V2: Travelling straight ahead,V1: W  / V2: W,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Passenger car)",Dry,Daylight,Clear,,MYSTIC VALLEY PARKWAY Rte UNKNOW / BOSTON AVENUE,,,,,230500.03143765,907407.25016603
4714976,SOMERVILLE,11-May-2019,9:51 PM,Non-fatal injury,Possible Injury (C),2,1,0,Rear-end,V1: Travelling straight ahead / V2: Travelling straight ahead,V1: W  / V2: W,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),V1:(Passenger car) / V2:(Motorcycle),Dry,Dark - lighted roadway,Clear,,417 SOMERVILLE AV,,,MARKET BASKET,,232816.36010596,903556.26596769
4700070,SOMERVILLE,12-May-2019,4:15 PM,Non-fatal injury,Possible Injury (C),2,2,0,Rear-end,V1: Travelling straight ahead / V2: Slowing or stopped in traffic,V1: N  / V2: N,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),V1:(Passenger car) / V2:(Passenger car),Wet,Daylight,Cloudy/Rain,,MYSTIC AVENUE Rte SR38 N / RAMP-RT 93 NB TO RT 28 NB/MYSTIC AVE NB,,,,,234127.19144494,904897.3448514
4714977,SOMERVILLE,13-May-2019,7:45 AM,Non-fatal injury,Suspected Minor Injury (B),1,1,0,"Sideswipe, same direction",V1: Parked,V1: S,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",V1:(Passenger car),Dry,Daylight,Clear,,76 ELM ST,,,, VU2: Bicyclist,231608.29692073,904317.57248189
4704578,SOMERVILLE,13-May-2019,10:20 AM,Non-fatal injury,Suspected Minor Injury (B),2,1,0,Rear-end,V1: Travelling straight ahead / V2: Slowing or stopped in traffic,V1: S  / V2: S,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Passenger car)",Dry,Daylight,Clear,RAMP-RT 28 SB TO RT 93 SB/MYSTIC AVE SB,RAMP-RT 28 SB TO RT 93 SB/MYSTIC AVE SB,,,PEDESTRIAN CROSSWALK,,234192.31591466,904711.79519521
4714978,SOMERVILLE,14-May-2019,3:13 PM,Non-fatal injury,Suspected Minor Injury (B),1,1,0,Single vehicle crash,V1: Travelling straight ahead,V1: W,V1:(Collision with pedestrian),V1:(Passenger car),Dry,Daylight,Cloudy,,403 HIGHLAND AV,,,DAVIS SQUARE, VU2: Pedestrian,231213.15997268,905109.79607789
4714979,SOMERVILLE,16-May-2019,1:32 AM,Property damage only (none injured),No Apparent Injury (O),2,0,0,Rear-end,V1: Travelling straight ahead / V2: Parked,V1: S  / V2: Not Reported,V1:(Collision with parked motor vehicle) / V2:(Collision with motor vehicle in traffic),V1:(Passenger car) / V2:(Passenger car),Wet,Dark - lighted roadway,Clear/Clear,,185 COLLEGE AV Rte 1 S,,,,,231520.91882591,905950.37752991
4714876,SOMERVILLE,16-May-2019,8:24 AM,Property damage only (none injured),No Apparent Injury (O),1,0,0,Angle,V1: Travelling straight ahead,V1: N,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",V1:(Passenger car),Dry,Daylight,Clear/Clear,PROSPECT ST / SOMERVILLE AV,PROSPECT ST / SOMERVILLE AV,,,, VU2: Bicyclist,233425.23438437,903253.81246616
4705359,SOMERVILLE,16-May-2019,10:25 AM,Property damage only (none injured),No Apparent Injury (O),1,0,0,Single vehicle crash,V1: Turning left,V1: S,V1:(Other),V1:(Truck/trailer),Dry,Daylight,Clear,,308 MCGRATH HIGHWAY Rte UNKNOW,,,,,233788.76021577,903275.34660816
4714877,SOMERVILLE,16-May-2019,3:03 PM,Non-fatal injury,Possible Injury (C),1,1,0,Single vehicle crash,V1: Backing,V1: S,V1:(Collision with pedestrian),V1:(Passenger car),Dry,Daylight,Clear/Clear,,723 SOMERVILLE AV,,,, VU2: Pedestrian,231737.78944937,904018.46881189
4711919,SOMERVILLE,17-May-2019,8:30 AM,Property damage only (none injured),No Apparent Injury (O),2,0,0,Angle,V1: Turning left / V2: Travelling straight ahead,V1: S  / V2: S,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Light truck(van, mini-van, pickup, sport utility))",Wet,Daylight,Rain,MCGRATH HIGHWAY Rte SR28 S / MYSTIC AVENUE Rte SR38 S,MCGRATH HIGHWAY Rte SR28 S / MYSTIC AVENUE Rte SR38 S,,,,,234095.50499323,904812.36876724
4714878,SOMERVILLE,17-May-2019,8:14 PM,Non-fatal injury,Suspected Serious Injury (A),2,3,0,Angle,V1: Travelling straight ahead / V2: Travelling straight ahead,V1: E  / V2: S,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Light truck(van, mini-van, pickup, sport utility))",Wet,Dark - lighted roadway,Cloudy,,REVOLUTION DRIVE,,,5 MIDDLESEX AV LOT EXIT,,234507.91388192,904539.88132984
4714288,SOMERVILLE,18-May-2019,2:41 AM,Property damage only (none injured),No Apparent Injury (O),3,0,0,"Sideswipe, same direction",V1: Parked / V2: Travelling straight ahead / V3: Parked,V1: W  / V2: W  / V3: W,V1:(Collision with motor vehicle in traffic) / V2:(Collision with parked motor vehicle) / V3:(Collision with motor vehicle in traffic),V1:(Passenger car) / V2:(Passenger car) / V3:(Passenger car),Dry,Dark - roadway not lighted,Clear/Clear,MYSTIC VALLEY PARKWAY Rte SR16 E / AUBURN STREET,MYSTIC VALLEY PARKWAY Rte SR16 E / AUBURN STREET,,,,,230711.54624717,907563.48417295
4715206,SOMERVILLE,18-May-2019,9:25 AM,Property damage only (none injured),No Apparent Injury (O),2,0,0,"Sideswipe, same direction",V1: Turning right / V2: Parked,V1: N  / V2: Not Reported,V1:(Collision with parked motor vehicle) / V2:(Collision with motor vehicle in traffic),"V1:(Single-unit truck (2-axle, 6-tires)) / V2:(Passenger car)",Dry,Daylight,Clear,DIMICK STREET / WALDO AVENUE,DIMICK STREET / WALDO AVENUE,,,,,232657.89588766,903046.60606597
4714879,SOMERVILLE,18-May-2019,2:49 PM,Non-fatal injury,Suspected Minor Injury (B),2,1,0,"Sideswipe, same direction",V1: Parked / V2: Travelling straight ahead,V1: Not Reported / V2: W,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car)) / V2:(Other)","V1:(Passenger car) / V2:(Light truck(van, mini-van, pickup, sport utility))",Dry,Daylight,Clear,,11 BEACON ST,,,, VU4: Bicyclist,232778.45823127,902764.8043936
4715202,SOMERVILLE,18-May-2019,5:08 PM,Not Reported,No Apparent Injury (O),2,0,0,"Sideswipe, same direction",V1: Travelling straight ahead / V2: Parked,V1: N  / V2: Not Reported,V1:(Collision with parked motor vehicle) / V2:(Collision with motor vehicle in traffic),"V1:(Single-unit truck (2-axle, 6-tires)) / V2:(Light truck(van, mini-van, pickup, sport utility))",Dry,Daylight,Clear,,68 BOSTON AVENUE,,,,,232111.36761269,905204.02809505
4714859,SOMERVILLE,19-May-2019,11:14 AM,Non-fatal injury,Suspected Serious Injury (A),1,1,0,Unknown,V1: Unknown,V1: U,V1:(Other),,Wet,Daylight,Rain/Rain,,282 SOMERVILLE AVE,,,, VU2: Bicyclist,233417.58994497,903257.80205919
4712905,SOMERVILLE,19-May-2019,11:45 AM,Not Reported,No Apparent Injury (O),3,0,0,Rear-end,V1: Not reported / V2: Travelling straight ahead / V3: Travelling straight ahead,V1: Not Reported / V2: S  / V3: S,V2:(Collision with motor vehicle in traffic) / V3:(Collision with motor vehicle in traffic),V2:(Passenger car) / V3:(Passenger car),Wet,Daylight,Rain,,Rte 93 S,,Exit 28 on Rte 93 S,,,234108.23329701,904851.77214765
4704181,SOMERVILLE,19-May-2019,3:13 PM,Property damage only (none injured),No Apparent Injury (O),2,0,0,Angle,V1: Travelling straight ahead / V2: Turning right,V1: S  / V2: N,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),V1:(Passenger car) / V2:(Passenger car),Dry,Daylight,Clear,,MYSTIC AVENUE Rte SR38 S / RAMP-RT 28 NB TO RT 93 SB/MYSTIC AVE SB,,,,,234148.66153435,904729.32265904
4714860,SOMERVILLE,19-May-2019,10:13 PM,Property damage only (none injured),No Apparent Injury (O),2,0,0,Rear-end,V1: Travelling straight ahead / V2: Parked,V1: E  / V2: Not Reported,V1:(Collision with parked motor vehicle) / V2:(Collision with motor vehicle in traffic),V1:(Passenger car) / V2:(Passenger car),Dry,Dark - lighted roadway,Clear,,532 MEDFORD ST,,,,,232596.08294991,905235.49250151
4703619,SOMERVILLE,20-May-2019,12:50 AM,Property damage only (none injured),No Apparent Injury (O),1,0,0,Single vehicle crash,V1: Leaving traffic lane,V1: N,V1:(Collision with median barrier),"V1:(Light truck(van, mini-van, pickup, sport utility))",Dry,Dark - lighted roadway,Cloudy,,Rte 93 N,,Exit 29 on Rte 93 N,,,234354.59732924,904549.61509137
4706009,SOMERVILLE,20-May-2019,1:15 PM,Property damage only (none injured),No Apparent Injury (O),2,0,0,"Sideswipe, same direction",V1: Travelling straight ahead / V2: Turning right,V1: N  / V2: N,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Tractor/semi-trailer)",Dry,Daylight,Clear,,MYSTIC AVENUE Rte SR38 S / RAMP-RT 28 NB TO RT 93 SB/MYSTIC AVE SB,,,,,234148.70548447,904729.25727628
4712023,SOMERVILLE,20-May-2019,2:34 PM,Non-fatal injury,Possible Injury (C),2,1,0,Rear-end,V1: Slowing or stopped in traffic / V2: Slowing or stopped in traffic,V1: S  / V2: S,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Passenger car) / V2:(Single-unit truck (2-axle, 6-tires))",Dry,Daylight,Clear,,Rte SR28 S / SHORE DRIVE,,,,,,
4715203,SOMERVILLE,20-May-2019,5:10 PM,Unknown,Unknown,1,0,0,Single vehicle crash,V1: Turning left,V1: S,V1:(Collision with pedestrian),V1:(Passenger car),Dry,Daylight,Clear/Clear,CROSS STREET / TUFTS STREET,CROSS STREET / TUFTS STREET,,,, VU1: Pedestrian,233782.0937767,903726.6250106
4715204,SOMERVILLE,20-May-2019,5:26 PM,Property damage only (none injured),No Apparent Injury (O),2,0,0,"Sideswipe, same direction",V1: Travelling straight ahead / V2: Turning right,V1: E  / V2: S,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Light truck(van, mini-van, pickup, sport utility))",Dry,Daylight,Cloudy,CROSS STREET / PEARL STREET,CROSS STREET / PEARL STREET,,,,,233939.79694485,903991.31262685
